distinct_type,semantic_type,structural_type
verifyState,global,verify
queryState,global,query
chooseState,global,choose
,attr,choose
,attr,verify
queryAttr,attr,query
compare,attr,compare
common,attr,compare
,attr,logical
chooseAttr,attr,choose
twoSame,attr,compare
twoDiff,attr,compare
allSame,attr,compare
allDifferent,attr,compare
categoryThatChoose,cat,choose
objThisChoose,cat,choose
categoryThisChoose,cat,choose
,cat,query
,rel,query
,rel,choose
categoryRel,rel,choose
,rel,verify
categoryRel,rel,query
logicAnd,obj,logical
existAttr,obj,logical
existNot,obj,logical
verifyAttrs,obj,logical
logicOr,obj,logical
,obj,verify
existNot,obj,verify
existAttr,obj,verify
